FAREID,JRNY_TYPE_ID,RTGNO,POS,REGION,ORIG,DEST,FARECLS,COMPARTMENT,FARE_CURR,PAX_TYPE,SALE_STR_DATE,SALE_END_DATE,TRAVEL_STR_DATE,TRAVEL_END_DATE,SEASON_STR_DATE,SEASON_END_DATE,DOW,MIN_STAY_UNIT,MIN_STAY_VAL,MAX_STAY_UNIT,MAX_STAY_VAL,FARE_TYPE,DEPARTURE_DATE,SNAP_DATE,CXR,BKG_TY,BKG_LY,BKG_YTD,RANK,MS_PERC,RNK_BASIS,YQ_YR_AMT_BC,Q_FUEL_AMT_BC,FAREAMT_BC,TAX_AMT_BC,Q_OTHERS_AMT_BC,TOTAL_AMT_BC,LAST_TOUCHED_DATE,INBOUND_BLACKOUT,EFFDT,ACTDISCDT,GPS_REC_STATUS,AP_UNIT,AP_VALUE,HUB,FLTRESTRICTION,RBD,YQ_YR_AMT,Q_FUEL_AMT,FAREAMT,TAX_AMT,Q_OTHERS_AMT,TOTAL_AMT,YQ_YR_AMT_EKFC,Q_FUEL_AMT_EKFC,FAREAMT_EKFC,TAX_AMT_EKFC,Q_OTHERS_AMT_EKFC,TOTAL_AMT_EKFC,CREATED_DATE,CREATED_BY,USD_TO_AED_MULT
2530123828,2,3400,US,AMERICAS,SFO,MAA,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/28/17,8/14/17,EK,1889,1880,0,0,28.7,,650,0,8111,97.68,0,8858.68,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,650,0,8111,97.68,0,8858.68,650,0,8111,97.68,0,8858.68,8/14/17,GPS,3.67303
2529996549,2,3400,US,AMERICAS,FLL,HKG,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,7/19/18,8/14/17,EK,35,0,0,0,6.64,,600,0,8125,119.02,0,8844.02,7/20/17,,2/28/17,12/31/99,,,,DXB,,Y,600,0,8125,119.02,0,8844.02,600,0,8125,119.02,0,8844.02,8/14/17,GPS,3.67303
2530129032,2,3400,US,AMERICAS,WAS,CMB,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,8/26/17,8/14/17,EK,524,307,0,0,40.46,,624,0,8073,131.62,0,8828.62,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,624,0,8073,131.62,0,8828.62,624,0,8073,131.62,0,8828.62,8/14/17,GPS,3.67303
2530000092,2,3400,US,AMERICAS,FLL,SIN,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,8/25/17,8/14/17,EK,146,2,0,0,72.28,,600,0,8125,102.07,0,8827.07,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,600,0,8125,102.07,0,8827.07,600,0,8125,102.07,0,8827.07,8/14/17,GPS,3.67303
2530047548,2,3400,US,AMERICAS,NYC,KUL,Y1RZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/18/17,8/14/17,EK,187,311,0,0,5.33,,600,0,8080,98.72,0,8778.72,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,600,0,8080,98.72,0,8778.72,600,0,8080,98.72,0,8778.72,8/14/17,GPS,3.67303
2530047548,2,3400,US,AMERICAS,NYC,KUL,Y1RZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/6/17,8/14/17,EK,187,311,0,0,5.33,,600,0,8080,98.72,0,8778.72,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,600,0,8080,98.72,0,8778.72,600,0,8080,98.72,0,8778.72,8/14/17,GPS,3.67303
2530046411,2,3400,US,AMERICAS,NYC,IST,Y1RZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/29/17,8/14/17,EK,71,8,0,0,0.58,,608,0,8065,96.62,0,8769.62,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,608,0,8065,96.62,0,8769.62,608,0,8065,96.62,0,8769.62,8/14/17,GPS,3.67303
2530020952,2,3400,US,AMERICAS,LAX,BAH,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/29/17,8/14/17,EK,59,78,0,0,11.71,,588,0,7922,96.13,0,8606.13,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,588,0,7922,96.13,0,8606.13,588,0,7922,96.13,0,8606.13,8/14/17,GPS,3.67303
2529980961,2,3400,US,AMERICAS,DFW,SIN,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,8/18/17,8/14/17,EK,42,51,0,0,3.21,,600,0,7887,102.07,0,8589.07,7/13/17,,2/28/17,12/31/99,,,,DXB,,Y,600,0,7887,102.07,0,8589.07,600,0,7887,102.07,0,8589.07,8/14/17,GPS,3.67303
2530107063,2,3400,US,AMERICAS,SEA,BOM,YRRZFUS1,Y,USD,ADT,2/28/17,12/31/99,2/28/17,12/31/99,2/28/17,12/31/99,,,,M,12,S,9/9/17,8/14/17,EK,1122,1389,0,0,44.54,,650,0,7838,98.14,0,8586.14,7/13/17,Y,2/28/17,12/31/99,,,,DXB,,Y,650,0,7838,98.14,0,8586.14,650,0,7838,98.14,0,8586.14,8/14/17,GPS,3.67303
